counter,dt,ax,ay,az,gx,gy,gz
11272,0.019921875000000002,8365,-1641,4984,-1,-10,1
11528,0.02,8389,-1664,4978,0,-10,1
11783,0.019921875000000002,8367,-1716,5001,0,-9,0
12041,0.02015625,8349,-1770,4991,0,-10,1
12298,0.020078125,8348,-1790,5003,0,-10,0
12552,0.01984375,8344,-1788,5005,0,-10,0
12810,0.02015625,8316,-1819,5000,0,-10,1
13067,0.020078125,8318,-1841,5004,0,-9,0
13322,0.019921875000000002,8326,-1858,5000,0,-11,1
13578,0.02,8305,-1917,4989,-1,-10,1
13832,0.01984375,8302,-1922,4973,0,-10,1
14086,0.01984375,8299,-1929,4978,-1,-9,2
14342,0.02,8311,-1972,4968,-1,-10,1
14599,0.020078125,8281,-1997,5002,0,-10,1
14854,0.019921875000000002,8292,-2027,5017,-1,-8,1
15109,0.019921875000000002,8292,-2044,5029,0,-11,2
15367,0.02015625,8275,-2077,4982,0,-10,1
15625,0.02015625,8269,-2076,5031,0,-10,1
15881,0.02,8284,-2137,4995,0,-10,1
16135,0.01984375,8237,-2148,5030,0,-9,0
16392,0.020078125,8258,-2199,4998,0,-10,0
16649,0.020078125,8228,-2233,5008,1,-9,0
16907,0.02015625,8262,-2224,4978,-1,-9,1
17165,0.02015625,8214,-2256,4969,-1,-9,1
17422,0.020078125,8220,-2278,5016,0,-9,1
17676,0.01984375,8231,-2314,5003,-1,-10,0
17931,0.019921875000000002,8209,-2341,5023,-1,-9,1
18188,0.020078125,8203,-2362,4998,0,-9,0
18445,0.020078125,8201,-2373,4999,0,-9,0
18701,0.02,8199,-2445,4992,0,-10,1
18957,0.02,8191,-2452,5002,0,-10,1
19214,0.020078125,8172,-2501,4988,0,-10,0
19470,0.02,8146,-2505,5025,-1,-9,1
19724,0.01984375,8169,-2550,5016,-1,-9,0
19982,0.02015625,8157,-2551,4999,0,-10,0
20237,0.019921875000000002,8170,-2567,4990,0,-10,0
20492,0.019921875000000002,8154,-2634,5015,-1,-10,1
20746,0.01984375,8139,-2647,5012,-1,-10,1
21002,0.02,8143,-2636,5012,-1,-9,1
21260,0.02015625,8126,-2676,5007,-1,-10,0
21514,0.01984375,8112,-2711,5010,-1,-9,2
21769,0.019921875000000002,8099,-2741,5006,0,-10,1
22023,0.01984375,8078,-2774,5001,0,-9,1
22277,0.01984375,8076,-2755,4995,-1,-11,1
22534,0.020078125,8088,-2782,4981,0,-10,1
22789,0.019921875000000002,8040,-2822,5014,-1,-9,0
23046,0.020078125,8047,-2877,4974,-1,-9,0
23302,0.02,8053,-2900,5007,-1,-10,1
23559,0.020078125,8038,-2892,5003,-1,-9,1
23813,0.01984375,8041,-2930,4992,-1,-10,0
24068,0.019921875000000002,8017,-2954,5005,-2,-10,2
24324,0.02,8010,-3010,4998,-2,-9,1
24578,0.01984375,8023,-3025,5023,-1,-9,1
24834,0.02,8003,-3046,4999,0,-10,1
25090,0.02,7984,-3071,4996,-1,-10,0
25346,0.02,7975,-3120,4976,-1,-9,1
25602,0.02,7974,-3158,4982,0,-10,1
25859,0.020078125,7946,-3153,4993,-1,-9,1
26116,0.020078125,7931,-3176,4984,-1,-8,1
26370,0.01984375,7948,-3207,4973,-2,-9,0
26627,0.020078125,7917,-3234,4986,-2,-10,0
26885,0.02015625,7906,-3269,5010,-1,-10,1
27143,0.02015625,7905,-3287,5009,-1,-10,1
27398,0.019921875000000002,7886,-3321,5014,-1,-9,1
27655,0.020078125,7888,-3323,5016,-1,-9,1
27913,0.02015625,7881,-3350,5006,-1,-10,1
28168,0.019921875000000002,7910,-3390,5003,-2,-10,2
28426,0.02015625,7847,-3417,4978,-2,-10,1
28683,0.020078125,7889,-3441,4977,-1,-10,1
28940,0.020078125,7832,-3470,5000,-1,-10,1
29197,0.020078125,7823,-3505,5008,-2,-10,1
29454,0.020078125,7820,-3502,5001,-1,-9,1
29712,0.02015625,7818,-3525,4996,-2,-9,1
29970,0.02015625,7810,-3576,4989,-1,-9,0
30226,0.02,7788,-3615,4988,-1,-8,0
30482,0.02,7767,-3611,5029,-2,-10,2
30739,0.020078125,7755,-3626,4980,-2,-10,0
30997,0.02015625,7763,-3663,4998,-2,-9,1
31252,0.019921875000000002,7754,-3726,4990,-2,-9,1
31507,0.019921875000000002,7732,-3717,4994,-2,-9,0
31764,0.020078125,7715,-3734,5026,-2,-9,1
32022,0.02015625,7704,-3765,4997,-2,-9,1
32280,0.02015625,7697,-3804,4988,-1,-9,0
32534,0.01984375,7704,-3807,5011,-2,-9,1
32792,0.02015625,7650,-3838,5007,-1,-9,0
33049,0.020078125,7658,-3820,5015,-2,-9,0
33303,0.01984375,7627,-3891,5004,-3,-10,1
33557,0.01984375,7629,-3905,4984,-2,-10,2
33812,0.019921875000000002,7598,-3951,5009,-1,-9,1
34070,0.02015625,7612,-3975,4995,-3,-10,1
34327,0.020078125,7583,-3979,4983,-2,-9,2
34583,0.02,7592,-3990,4991,-2,-10,1
34840,0.020078125,7572,-4044,4984,-3,-10,0
35096,0.02,7573,-4082,4982,-1,-9,1
35354,0.02015625,7561,-4072,4980,-2,-10,2
35608,0.01984375,7515,-4122,4987,-3,-8,2
35863,0.019921875000000002,7519,-4151,4969,-2,-9,0
36118,0.019921875000000002,7517,-4149,5007,-2,-10,1
36376,0.02015625,7501,-4166,5014,-3,-10,0
36632,0.02,7472,-4192,5008,-2,-9,1
36889,0.020078125,7493,-4221,5003,-1,-9,1
37147,0.02015625,7450,-4241,5021,-2,-8,0
37401,0.01984375,7449,-4277,4991,-1,-9,1
37659,0.02015625,7437,-4330,4991,-2,-9,0
37913,0.01984375,7443,-4304,5010,-2,-9,0
38170,0.020078125,7396,-4364,4993,-3,-10,1
38427,0.020078125,7401,-4346,4992,-2,-9,1
38685,0.02015625,7395,-4384,5007,-2,-9,0
38939,0.01984375,7359,-4429,4985,-2,-8,0
39197,0.02015625,7362,-4459,4998,-3,-9,0
39454,0.020078125,7359,-4471,4993,-3,-9,1
39708,0.01984375,7334,-4457,5024,-3,-9,1
39964,0.02,7304,-4497,5008,-2,-9,2
40222,0.02015625,7306,-4540,5025,-2,-9,1
40478,0.02,7292,-4556,4982,-3,-9,0
40733,0.019921875000000002,7266,-4576,5000,-2,-10,1
40988,0.019921875000000002,7270,-4600,4991,-2,-8,1
41244,0.02,7237,-4635,5004,-3,-9,0
41502,0.02015625,7219,-4658,5000,-3,-9,1
41759,0.020078125,7233,-4680,5008,-3,-9,1
42016,0.020078125,7218,-4691,5011,-3,-9,1
42273,0.020078125,7181,-4735,5005,-2,-9,1
42530,0.020078125,7175,-4782,4999,-3,-9,2
42786,0.02,7144,-4784,4963,-3,-9,1
43043,0.020078125,7164,-4782,5003,-3,-8,1
43298,0.019921875000000002,7121,-4844,4996,-2,-8,1
43554,0.02,7107,-4859,5010,-4,-8,1
43809,0.019921875000000002,7110,-4867,5011,-3,-9,2
44067,0.02015625,7084,-4875,4966,-2,-8,1
44324,0.020078125,7082,-4901,4992,-3,-9,0
44580,0.02,7076,-4918,4991,-3,-9,1
44836,0.02,7029,-4950,5013,-3,-8,1
45092,0.02,7026,-4993,5017,-3,-8,1
45349,0.020078125,6998,-5010,5023,-3,-9,1
45604,0.019921875000000002,6997,-4971,5006,-3,-8,0
45862,0.02015625,6985,-5016,5000,-4,-9,2
46117,0.019921875000000002,6974,-5081,4992,-3,-8,1
46371,0.01984375,6969,-5084,4982,-4,-8,0
46628,0.020078125,6934,-5109,4985,-3,-9,1
46885,0.020078125,6938,-5127,5003,-3,-9,1
47140,0.019921875000000002,6913,-5153,4970,-3,-8,1
47397,0.020078125,6869,-5145,5001,-3,-8,1
47654,0.020078125,6864,-5171,5017,-3,-8,0
47911,0.020078125,6878,-5237,5006,-4,-10,1
48169,0.02015625,6831,-5277,5010,-2,-8,1
48427,0.02015625,6828,-5256,5018,-3,-8,1
48683,0.02,6820,-5293,5000,-2,-8,1
48938,0.019921875000000002,6821,-5319,5026,-3,-7,0
49192,0.01984375,6769,-5329,5008,-2,-9,1
49448,0.02,6780,-5346,4987,-2,-8,1
49705,0.020078125,6750,-5375,5000,-3,-8,0
49962,0.020078125,6715,-5412,5005,-3,-8,1
50216,0.01984375,6705,-5400,4997,-3,-8,0
50473,0.020078125,6686,-5429,4975,-3,-8,1
50730,0.020078125,6685,-5448,4994,-3,-9,1
50987,0.020078125,6652,-5482,5019,-3,-9,0
51243,0.02,6654,-5481,5007,-4,-8,1
51497,0.01984375,6625,-5544,5022,-5,-8,1
51753,0.02,6608,-5526,4991,-4,-8,1
52010,0.020078125,6591,-5596,4988,-3,-8,1
52266,0.02,6577,-5604,5026,-3,-8,1
52522,0.02,6553,-5624,5001,-3,-8,2
52778,0.02,6552,-5672,5006,-3,-8,1
53034,0.02,6529,-5658,5010,-4,-9,2
53289,0.019921875000000002,6501,-5677,4979,-3,-9,1
53546,0.020078125,6511,-5692,5009,-4,-7,0
53801,0.019921875000000002,6501,-5705,5010,-4,-8,1
54057,0.02,6461,-5745,4970,-3,-8,1
54313,0.02,6434,-5757,4987,-5,-8,1
54570,0.020078125,6422,-5800,5002,-4,-9,0
54828,0.02015625,6420,-5809,4994,-3,-8,1
55085,0.020078125,6385,-5833,4968,-3,-8,1
55339,0.01984375,6370,-5834,4977,-4,-9,2
55596,0.020078125,6368,-5898,4978,-4,-8,0
55851,0.019921875000000002,6366,-5881,5008,-4,-8,1
56105,0.01984375,6315,-5897,4976,-3,-8,1
56359,0.01984375,6285,-5941,4983,-4,-8,1
56617,0.02015625,6268,-5966,5000,-4,-8,2
56873,0.02,6264,-5948,4992,-4,-8,0
57128,0.019921875000000002,6268,-5990,5012,-4,-8,0
57382,0.01984375,6247,-6003,5006,-3,-7,1
57639,0.020078125,6189,-6038,4985,-3,-8,0
57896,0.020078125,6189,-6070,4999,-5,-8,1
58151,0.019921875000000002,6203,-6055,4994,-3,-9,0
58405,0.01984375,6160,-6120,5000,-4,-8,0
58660,0.019921875000000002,6143,-6107,5021,-4,-8,1
58917,0.020078125,6098,-6121,5009,-3,-8,1
59171,0.01984375,6091,-6144,5006,-4,-7,0
59426,0.019921875000000002,6096,-6159,5000,-4,-7,0
59680,0.01984375,6067,-6198,5027,-3,-8,1
59936,0.02,6048,-6214,5011,-4,-8,1
60190,0.01984375,6031,-6222,5001,-4,-7,0
60444,0.01984375,6012,-6250,5026,-4,-8,0
60698,0.01984375,5992,-6285,4992,-5,-8,1
60955,0.020078125,5946,-6267,4980,-4,-8,2
61211,0.02,5960,-6318,4986,-4,-8,1
61469,0.02015625,5949,-6333,5001,-4,-7,1
61724,0.019921875000000002,5906,-6367,4984,-4,-8,1
61979,0.019921875000000002,5907,-6378,4996,-4,-8,2
62234,0.019921875000000002,5886,-6375,5026,-5,-8,1
62492,0.02015625,5839,-6394,4983,-4,-7,1
62748,0.02,5805,-6431,5008,-4,-9,1
63003,0.019921875000000002,5816,-6448,5014,-4,-8,1
63260,0.020078125,5821,-6430,5004,-4,-7,0
63516,0.02,5784,-6484,5004,-4,-7,1
63770,0.01984375,5709,-6489,5009,-4,-8,2
64027,0.020078125,5740,-6504,5015,-4,-8,0
64281,0.01984375,5708,-6517,4994,-4,-7,1
64535,0.01984375,5691,-6540,5006,-3,-8,1
64792,0.020078125,5688,-6542,5002,-4,-7,1
65048,0.02,5650,-6579,5016,-3,-7,1
65303,0.019921875000000002,5635,-6594,4997,-4,-8,1
21,0.01984375,5599,-6627,5000,-3,-8,0
277,0.02,5587,-6614,4956,-5,-6,1
534,0.020078125,5559,-6657,4999,-4,-6,1
789,0.019921875000000002,5547,-6663,4988,-5,-8,0
1045,0.02,5522,-6710,5003,-5,-9,0
1300,0.019921875000000002,5508,-6719,5021,-5,-7,1
1558,0.02015625,5494,-6741,4997,-5,-7,1
1815,0.020078125,5460,-6731,5004,-5,-7,1
2070,0.019921875000000002,5440,-6762,4989,-5,-8,1
2326,0.02,5441,-6791,5036,-4,-7,1
2584,0.02015625,5440,-6810,4959,-5,-7,1
2839,0.019921875000000002,5396,-6796,5003,-4,-8,0
3093,0.01984375,5395,-6832,4988,-5,-7,0
3348,0.019921875000000002,5331,-6873,4995,-5,-7,1
3605,0.020078125,5333,-6879,4996,-4,-7,1
3863,0.02015625,5325,-6885,5009,-5,-8,1
4118,0.019921875000000002,5298,-6894,5004,-5,-7,1
4372,0.01984375,5273,-6928,5014,-5,-7,2
4626,0.01984375,5259,-6942,5002,-5,-8,0
4882,0.02,5224,-6958,5001,-4,-7,0
5136,0.01984375,5208,-6975,4995,-5,-6,0
5390,0.01984375,5176,-6987,4985,-4,-7,1
5647,0.020078125,5157,-7005,4995,-5,-7,1
5905,0.02015625,5151,-7039,4981,-6,-7,1
6160,0.019921875000000002,5126,-7058,5024,-5,-7,1
6416,0.02,5082,-7061,4999,-3,-7,2
6672,0.02,5094,-7064,4982,-4,-8,2
6929,0.020078125,5057,-7126,4991,-4,-7,1
7187,0.02015625,5020,-7122,4995,-5,-7,1
7445,0.02015625,4998,-7114,4997,-6,-8,1
7700,0.019921875000000002,5019,-7126,4970,-6,-6,1
7958,0.02015625,4985,-7164,5001,-4,-7,1
8212,0.01984375,4947,-7159,4996,-4,-7,0
8470,0.02015625,4954,-7192,4988,-5,-7,1
8724,0.01984375,4902,-7199,4999,-6,-6,1
8978,0.01984375,4889,-7235,4989,-5,-6,1
9232,0.01984375,4870,-7240,4989,-5,-6,0
9486,0.01984375,4817,-7275,4979,-5,-7,0
9742,0.02,4785,-7277,5014,-5,-7,0
9999,0.020078125,4770,-7294,4995,-4,-6,1
10256,0.020078125,4760,-7292,4991,-5,-6,0
10510,0.01984375,4745,-7289,4973,-5,-7,1
10765,0.019921875000000002,4703,-7314,5005,-5,-7,1
11019,0.01984375,4691,-7343,5028,-5,-7,1
11273,0.01984375,4662,-7371,4980,-5,-6,1
11530,0.020078125,4667,-7385,4987,-5,-7,1
11787,0.020078125,4644,-7389,4998,-4,-7,1
12042,0.019921875000000002,4623,-7420,4978,-5,-7,1
12297,0.019921875000000002,4602,-7394,4999,-5,-7,1
12555,0.02015625,4570,-7425,5026,-4,-6,0
12811,0.02,4540,-7444,4983,-5,-6,0
13066,0.019921875000000002,4543,-7456,4969,-5,-6,1
13324,0.02015625,4497,-7460,4997,-6,-7,1
13578,0.01984375,4497,-7482,5017,-5,-6,0
13833,0.019921875000000002,4483,-7493,4988,-5,-6,0
14090,0.020078125,4444,-7530,5000,-5,-6,0
14346,0.02,4409,-7501,5015,-5,-6,1
14600,0.01984375,4405,-7556,4993,-6,-6,2
14858,0.02015625,4366,-7590,5003,-6,-7,1
15113,0.019921875000000002,4346,-7579,4984,-5,-6,0
15370,0.020078125,4314,-7581,4991,-6,-6,-1
15625,0.019921875000000002,4290,-7609,4996,-5,-6,0
15882,0.020078125,4282,-7611,4968,-4,-7,1
16140,0.02015625,4256,-7623,4986,-5,-7,1
16397,0.020078125,4219,-7651,5000,-5,-6,1
16655,0.02015625,4205,-7668,4989,-5,-6,1
16911,0.02,4184,-7692,4968,-5,-6,1
17165,0.01984375,4169,-7701,4972,-4,-6,1
17421,0.02,4120,-7703,4975,-5,-6,1
17677,0.02,4105,-7724,4986,-7,-6,1
17934,0.020078125,4100,-7750,5010,-5,-5,1
18189,0.019921875000000002,4079,-7757,5003,-6,-7,0
18446,0.020078125,4040,-7760,4998,-6,-7,1
18702,0.02,4030,-7777,4992,-5,-6,1
18959,0.020078125,4010,-7785,4993,-5,-6,1
19215,0.02,3971,-7786,4976,-5,-6,1
19470,0.019921875000000002,3942,-7794,4960,-5,-6,1
19725,0.019921875000000002,3915,-7813,5021,-6,-5,1
19983,0.02015625,3905,-7824,5005,-6,-6,0
20237,0.01984375,3876,-7841,5002,-5,-6,0
20492,0.019921875000000002,3829,-7820,4996,-5,-6,1
20748,0.02,3835,-7866,5008,-4,-6,0
21002,0.01984375,3790,-7851,5007,-6,-6,0
21260,0.02015625,3793,-7893,4987,-5,-6,1
21515,0.019921875000000002,3756,-7887,5016,-5,-5,1
21770,0.019921875000000002,3721,-7901,4994,-6,-6,1
22025,0.019921875000000002,3700,-7901,4998,-5,-6,1
22279,0.01984375,3669,-7935,4991,-6,-6,1
22536,0.020078125,3666,-7940,4982,-5,-6,-1
22792,0.02,3628,-7943,4966,-5,-5,0
23047,0.019921875000000002,3611,-7990,5015,-6,-6,1
23305,0.02015625,3597,-7995,4981,-5,-6,0
23562,0.020078125,3562,-8016,5015,-5,-6,0
23818,0.02,3510,-8022,5006,-4,-5,1
24074,0.02,3508,-8031,5021,-6,-4,1
24331,0.020078125,3464,-8038,4980,-6,-5,2
24585,0.01984375,3449,-8036,4999,-6,-5,0
24843,0.02015625,3443,-8043,4995,-5,-5,1
25098,0.019921875000000002,3418,-8079,4981,-6,-5,1
25352,0.01984375,3378,-8090,4965,-6,-6,0
25608,0.02,3362,-8103,4995,-5,-6,1
25866,0.02015625,3351,-8105,4978,-5,-5,1
26123,0.020078125,3332,-8134,5010,-5,-5,1
26378,0.019921875000000002,3295,-8120,4995,-6,-5,0
26633,0.019921875000000002,3261,-8095,4980,-6,-6,1
26889,0.02,3233,-8139,5002,-6,-5,1
27144,0.019921875000000002,3236,-8145,5037,-5,-5,0
27402,0.02015625,3194,-8136,5014,-5,-5,0
27657,0.019921875000000002,3178,-8186,4966,-6,-5,1
27912,0.019921875000000002,3153,-8170,4974,-6,-6,0
28166,0.01984375,3132,-8199,5001,-5,-5,1
28423,0.020078125,3086,-8226,4990,-6,-5,2
28677,0.01984375,3048,-8202,4973,-5,-5,1
28935,0.02015625,3032,-8229,5002,-5,-5,0
29193,0.02015625,3026,-8191,4989,-5,-5,1
29447,0.01984375,3005,-8231,4976,-6,-5,1
29701,0.01984375,2994,-8220,4990,-6,-4,1
29959,0.02015625,2931,-8272,4995,-6,-5,1
30213,0.01984375,2932,-8246,4958,-6,-5,0
30469,0.02,2886,-8288,4988,-5,-4,0
30727,0.02015625,2879,-8276,4993,-6,-5,2
30981,0.01984375,2862,-8310,4999,-5,-5,1
31238,0.020078125,2823,-8300,4989,-7,-5,0
31493,0.019921875000000002,2778,-8291,4994,-6,-5,1
31749,0.02,2785,-8333,4987,-5,-6,1
32007,0.02015625,2738,-8332,4979,-6,-4,1
32264,0.020078125,2724,-8309,4978,-5,-5,2
32519,0.019921875000000002,2706,-8343,4985,-6,-5,1
32777,0.02015625,2669,-8361,4982,-5,-4,0
33033,0.02,2634,-8359,5009,-5,-5,1
33287,0.01984375,2604,-8377,5010,-7,-5,0
33542,0.019921875000000002,2597,-8372,4992,-5,-6,1
33797,0.019921875000000002,2563,-8379,4966,-6,-4,1
34054,0.020078125,2518,-8398,4969,-6,-4,1
34312,0.02015625,2508,-8392,5006,-7,-4,1
34566,0.01984375,2487,-8433,4999,-7,-5,1
34823,0.020078125,2476,-8432,4975,-6,-4,2
35081,0.02015625,2417,-8426,4969,-5,-5,0
35339,0.02015625,2405,-8439,4990,-6,-4,0
35596,0.020078125,2400,-8447,5002,-6,-5,1
35851,0.019921875000000002,2382,-8451,4982,-6,-4,0
36105,0.01984375,2326,-8453,4957,-5,-4,1
36363,0.02015625,2320,-8471,4968,-6,-5,1
36619,0.02,2298,-8454,4990,-6,-4,1
36874,0.019921875000000002,2267,-8489,4988,-7,-5,1
37131,0.020078125,2248,-8506,4994,-6,-4,2
37388,0.020078125,2221,-8486,5013,-6,-5,0
37646,0.02015625,2179,-8540,4981,-6,-4,1
37904,0.02015625,2148,-8503,4994,-6,-4,0
38162,0.02015625,2115,-8530,4985,-7,-4,0
38416,0.01984375,2108,-8519,4989,-6,-5,0
38670,0.01984375,2074,-8539,4984,-5,-4,0
38925,0.019921875000000002,2064,-8530,4971,-6,-4,0
39182,0.020078125,2035,-8542,4980,-6,-4,1
39438,0.02,2001,-8550,4988,-7,-5,0
39696,0.02015625,1984,-8577,4985,-6,-4,0
39954,0.02015625,1949,-8540,5008,-6,-4,0
40212,0.02015625,1935,-8574,4991,-6,-4,1
40466,0.01984375,1902,-8570,4974,-7,-3,2
40723,0.020078125,1879,-8603,4971,-6,-3,0
40981,0.02015625,1844,-8587,4995,-6,-5,1
41239,0.02015625,1837,-8597,4988,-6,-4,1
41494,0.019921875000000002,1800,-8594,5004,-7,-4,1
41751,0.020078125,1759,-8595,4979,-7,-4,1
42007,0.02,1756,-8607,4988,-6,-4,0
42261,0.01984375,1720,-8623,5007,-5,-4,1
42516,0.019921875000000002,1688,-8643,4978,-6,-4,1
42771,0.019921875000000002,1677,-8639,4971,-5,-3,1
43029,0.02015625,1635,-8636,4981,-6,-2,1
43283,0.01984375,1621,-8665,4974,-6,-4,-1
43537,0.01984375,1595,-8616,4951,-5,-5,1
43793,0.02,1558,-8685,4987,-6,-4,1
44049,0.02,1526,-8683,4991,-5,-3,0
44305,0.02,1483,-8672,4956,-6,-3,0
44559,0.01984375,1491,-8655,4972,-6,-5,1
44815,0.02,1453,-8667,4986,-6,-4,1
45073,0.02015625,1442,-8675,4985,-6,-4,1
45327,0.01984375,1392,-8673,4980,-6,-4,1
45584,0.020078125,1350,-8677,4983,-6,-4,2
45838,0.01984375,1342,-8700,4964,-7,-3,1
46093,0.019921875000000002,1331,-8705,5006,-6,-4,2
46351,0.02015625,1305,-8663,4983,-6,-4,0
46606,0.019921875000000002,1265,-8683,4988,-6,-4,1
46862,0.02,1258,-8697,4981,-7,-3,-1
47117,0.019921875000000002,1222,-8669,4956,-6,-3,1
47374,0.020078125,1205,-8705,4981,-6,-3,2
47630,0.02,1166,-8713,4953,-6,-3,0
47886,0.02,1104,-8719,4999,-6,-3,0
48144,0.02015625,1117,-8713,4951,-6,-3,1
48400,0.02,1093,-8717,4986,-6,-4,0
48656,0.02,1046,-8732,4984,-6,-3,1
48914,0.02015625,1018,-8730,4965,-6,-3,-1
49170,0.02,1041,-8728,4969,-5,-3,1
49428,0.02015625,971,-8715,4976,-6,-3,1
49685,0.020078125,951,-8726,5015,-6,-3,1
49943,0.02015625,945,-8755,4973,-7,-4,1
50199,0.02,898,-8722,4985,-7,-3,1
50455,0.02,889,-8751,4970,-6,-4,1
50709,0.01984375,879,-8751,4965,-6,-3,0
50963,0.01984375,829,-8740,4972,-6,-3,1
51217,0.01984375,784,-8775,5005,-6,-3,1
51474,0.020078125,777,-8768,4980,-6,-3,1
51729,0.019921875000000002,733,-8784,4978,-6,-4,1
51984,0.019921875000000002,727,-8729,4970,-7,-3,1
52241,0.020078125,689,-8781,4973,-7,-2,0
52496,0.019921875000000002,659,-8793,4967,-6,-3,1
52750,0.01984375,654,-8762,4990,-6,-3,1
53006,0.02,621,-8759,4985,-7,-3,1
53262,0.02,591,-8777,4992,-6,-2,1
53516,0.01984375,537,-8772,4966,-7,-3,1
53771,0.019921875000000002,533,-8750,4977,-5,-3,1
54026,0.019921875000000002,480,-8766,4967,-7,-2,1
54283,0.020078125,490,-8789,4974,-6,-2,2
54538,0.019921875000000002,452,-8756,4988,-6,-2,2
54792,0.01984375,450,-8769,4975,-6,-2,2
55047,0.019921875000000002,400,-8781,4975,-6,-3,1
55303,0.02,392,-8793,4975,-7,-2,1
55560,0.020078125,364,-8787,4982,-6,-2,1
55814,0.01984375,314,-8789,4980,-6,-3,2
56072,0.02015625,327,-8810,4955,-7,-3,1
56327,0.019921875000000002,269,-8791,4981,-7,-3,1
56582,0.019921875000000002,209,-8811,4956,-6,-2,1
56836,0.01984375,179,-8817,4983,-8,-2,0
57091,0.019921875000000002,192,-8809,4989,-5,-4,1
57347,0.02,126,-8789,4970,-6,-3,1
57604,0.020078125,105,-8778,4966,-7,-2,1
57861,0.020078125,128,-8778,4960,-6,-2,2
58117,0.02,80,-8794,4969,-6,-2,1
58371,0.01984375,41,-8805,4964,-7,-3,2
58626,0.019921875000000002,17,-8787,4935,-6,-2,1
58883,0.020078125,-4,-8805,4940,-6,-2,1
59140,0.020078125,-48,-8819,4975,-5,-2,0
59396,0.02,-57,-8798,4984,-6,-4,1
59652,0.02,-102,-8818,4968,-6,-3,1
59908,0.02,-102,-8796,4958,-7,-2,0
60166,0.02015625,-124,-8798,4969,-7,-2,1
60422,0.02,-187,-8788,4972,-7,-2,0
60678,0.02,-188,-8770,4992,-6,-2,0
60933,0.019921875000000002,-225,-8786,4958,-6,-1,1
61189,0.02,-267,-8813,4982,-6,-2,1
61446,0.020078125,-261,-8795,4959,-6,-3,2
61704,0.02015625,-302,-8782,4962,-7,-2,1
61961,0.020078125,-335,-8803,4972,-6,-1,1
62218,0.020078125,-344,-8778,4952,-7,-2,0
62475,0.020078125,-368,-8784,4971,-8,-1,0
62729,0.01984375,-376,-8808,4957,-7,-2,0
62984,0.019921875000000002,-450,-8806,4981,-6,-1,0
63239,0.019921875000000002,-457,-8803,4964,-7,-2,1
63496,0.020078125,-472,-8795,4984,-6,-2,0
63753,0.020078125,-522,-8755,4973,-6,-2,2
64007,0.01984375,-520,-8790,4964,-6,-2,0
64261,0.01984375,-560,-8755,4949,-7,-2,1
64517,0.02,-563,-8760,4982,-6,-2,0
64775,0.02015625,-608,-8766,4987,-6,-2,1
65029,0.01984375,-633,-8793,4979,-6,-2,0
65287,0.02015625,-675,-8747,4993,-6,-1,1
5,0.01984375,-685,-8774,4960,-7,-3,1
260,0.019921875000000002,-736,-8777,4950,-6,-1,2
517,0.020078125,-778,-8767,4952,-6,-1,0
774,0.020078125,-778,-8767,4991,-6,-1,-1
1032,0.02015625,-807,-8726,4987,-7,-2,0
1286,0.01984375,-807,-8751,4955,-6,-3,0
1540,0.01984375,-858,-8739,4937,-6,-1,0
1796,0.02,-882,-8748,4992,-6,-2,1
2052,0.02,-932,-8749,4959,-6,-1,1
2307,0.019921875000000002,-950,-8741,4988,-7,-1,1
2564,0.020078125,-966,-8764,4987,-7,-1,0
2819,0.019921875000000002,-1001,-8718,4981,-6,-1,1
3077,0.02015625,-1018,-8743,4979,-7,-1,1
3331,0.01984375,-1044,-8718,4966,-6,-1,1
3588,0.020078125,-1081,-8728,4965,-6,-1,2
3844,0.02,-1099,-8726,4962,-7,-2,1
4098,0.01984375,-1107,-8720,4958,-6,0,1
4355,0.020078125,-1163,-8723,4992,-6,-1,1
4609,0.01984375,-1161,-8720,4968,-6,-2,1
4865,0.02,-1220,-8723,4956,-6,-1,0
5122,0.020078125,-1228,-8721,4971,-6,-1,1
5376,0.01984375,-1250,-8730,4972,-5,-1,1
5631,0.019921875000000002,-1271,-8671,4978,-7,-1,2
5886,0.019921875000000002,-1299,-8709,4968,-7,0,0
6144,0.02015625,-1333,-8700,4955,-5,-1,1
6399,0.019921875000000002,-1378,-8711,4945,-6,-1,1
6657,0.02015625,-1364,-8689,4960,-7,0,2
6913,0.02,-1440,-8679,4982,-7,-1,1
7171,0.02015625,-1439,-8661,4989,-5,-1,1
7429,0.02015625,-1480,-8650,4942,-6,-1,1
7684,0.019921875000000002,-1488,-8621,4961,-6,0,1
7940,0.02,-1497,-8652,4959,-7,-2,0
8197,0.020078125,-1539,-8670,4981,-6,-1,0
8451,0.01984375,-1562,-8657,4947,-6,-1,1
8708,0.020078125,-1588,-8639,4968,-7,0,1
8964,0.02,-1600,-8637,4974,-6,0,0
9218,0.01984375,-1633,-8601,4958,-6,-1,1
9476,0.02015625,-1650,-8639,4947,-5,0,2
9731,0.019921875000000002,-1708,-8616,4951,-6,-2,1
9989,0.02015625,-1723,-8613,4955,-7,0,0
10244,0.019921875000000002,-1746,-8576,4983,-7,-1,1
10500,0.02,-1781,-8622,4966,-6,0,1
10755,0.019921875000000002,-1789,-8614,4945,-6,0,0
11013,0.02015625,-1832,-8610,4958,-6,-1,1
11271,0.02015625,-1875,-8593,4986,-6,-1,1
11528,0.020078125,-1908,-8593,4980,-6,0,1
11786,0.02015625,-1911,-8562,4920,-6,-1,2
